"templog10","implog10","temp","imp"
-0.696,1.912,-1.79862757501376,81.6582371358592
-0.665,1.893,-1.7837281476273,78.162780458833
-0.612,1.866,-1.7556569447306,73.4513868157115
-0.568,1.841,-1.72960416358912,69.3425806016569
-0.522,1.818,-1.69939236973718,65.7657837355421
-0.469,1.79,-1.66037472740959,61.6595001861482
-0.419,1.761,-1.61893417660623,57.6766463392251
-0.369,1.737,-1.57243711384841,54.5757861091271
-0.322,1.708,-1.52356901319458,51.0504999975406
-0.271,1.683,-1.46420334248666,48.1947797625127
-0.216,1.651,-1.39186499872128,44.7713304176363
-0.155,1.619,-1.30015800399773,41.5910610494022
-0.1,1.591,-1.20567176527572,38.9941986676543
-0.059,1.568,-1.12702863161189,36.9828179780266
-0.007,1.541,-1.01598889423887,34.7536161443206
0.047,1.514,-0.88570546640827,32.6587832172336
0.104,1.483,-0.729425894791458,30.4088502567628
0.159,1.452,-0.557884648475131,28.3139199579938
0.209,1.427,-0.381919962356934,26.7300640866331
0.265,1.396,-0.159227998531044,24.8885731828239
0.325,1.362,0.113489039836647,23.0144181740851
0.385,1.332,0.426610095082415,21.4783047413053
0.432,1.305,0.703958364108844,20.1836636368156
0.485,1.276,1.05492111321551,18.8799134909629
0.538,1.251,1.45143739335856,17.8237876744809
0.594,1.218,1.926449353996,16.5196179822901
0.652,1.188,2.48745389933132,15.4170045294956
0.707,1.159,3.09330871057195,14.4211535152487
0.759,1.13,3.74116462207328,13.4896288259165
0.796,1.111,4.25172692775686,12.9121927361353
0.846,1.086,5.01455298419971,12.1898959892487
