 ,Area,Mean,Min,Max,X,Y
467,0.000,122,122,122,3220.517,1.345
468,0.000,122,122,122,3220.517,1.376
469,0.000,122,122,122,3225.383,1.430
470,0.000,122,122,122,3239.983,1.491
471,0.000,122,122,122,3239.983,1.560
472,0.000,122,122,122,3254.583,1.622
473,0.000,122,122,122,3257.017,1.653
474,0.000,135,135,135,3257.017,1.683
475,0.000,122,122,122,3261.883,1.699
476,0.000,122,122,122,3274.050,1.729
477,0.000,122,122,122,3281.350,1.798
478,0.000,122,122,122,3291.083,1.837
479,0.000,122,122,122,3298.383,1.860
480,0.000,122,122,122,3312.983,1.883
481,0.000,122,122,122,3317.850,1.791
482,0.000,191,191,191,3317.850,1.752
483,0.000,129,129,129,3325.150,1.691
484,0.000,122,122,122,3339.750,1.583
485,0.000,122,122,122,3342.183,1.507
486,0.000,122,122,122,3344.617,1.476
487,0.000,249,249,249,3344.617,1.407
488,0.000,122,122,122,3354.350,1.353
489,0.000,122,122,122,3364.083,1.269
490,0.000,122,122,122,3366.517,1.200
491,0.000,121,121,121,3366.517,1.123
492,0.000,122,122,122,3376.250,1.054
493,0.000,122,122,122,3378.683,0.985
494,0.000,122,122,122,3388.417,0.916
495,0.000,122,122,122,3390.850,0.831
496,0.000,122,122,122,3400.583,0.754
497,0.000,122,122,122,3403.017,0.693
498,0.000,122,122,122,3405.450,0.639
499,0.000,122,122,122,3415.183,0.562
500,0.000,122,122,122,3424.917,0.478
501,0.000,122,122,122,3434.650,0.417
502,0.000,122,122,122,3444.383,0.363
503,0.000,122,122,122,3451.683,0.286
504,0.000,122,122,122,3466.283,0.248
505,0.000,122,122,122,3476.017,0.179
506,0.000,136,136,136,3485.750,0.094
507,0.000,122,122,122,3483.317,0.148
508,0.000,71,71,71,3493.050,0.094
509,0.000,34,34,34,3500.350,0.171
510,0.000,122,122,122,3502.783,0.255
511,0.000,122,122,122,3512.517,0.370
512,0.000,122,122,122,3512.517,0.447
513,0.000,122,122,122,3505.217,0.332
514,0.000,122,122,122,3514.950,0.516
515,0.000,122,122,122,3522.250,0.593
516,0.000,122,122,122,3522.250,0.655
517,0.000,122,122,122,3531.983,0.716
518,0.000,122,122,122,3534.417,0.793
519,0.000,122,122,122,3536.850,0.885
520,0.000,122,122,122,3541.717,0.992
521,0.000,122,122,122,3549.017,1.061
522,0.000,122,122,122,3553.883,1.131
523,0.000,122,122,122,3553.883,1.177
524,0.000,122,122,122,3563.617,1.315
525,0.000,122,122,122,3563.617,1.261
526,0.000,122,122,122,3568.483,1.361
527,0.000,122,122,122,3570.917,1.415
528,0.000,122,122,122,3575.783,1.499
529,0.000,122,122,122,3583.083,1.560
530,0.000,122,122,122,3592.817,1.660
531,0.000,122,122,122,3600.117,1.722
532,0.000,122,122,122,3590.383,1.614
533,0.000,122,122,122,3607.417,1.768
534,0.000,122,122,122,3612.283,1.791
535,0.000,122,122,122,3617.150,1.860
536,0.000,122,122,122,3626.883,1.883
537,0.000,122,122,122,3641.483,1.944
538,0.000,122,122,122,3651.217,1.967
539,0.000,122,122,122,3660.950,1.983
540,0.000,122,122,122,3673.117,1.990
