"dayOfYear","coastal","innerShelf","outerShelf","iceAlgae","feedingActivity"
1,1.39432435135307,1.65724166091709,0.952332361516035,0,0
2,1.37972446464946,1.65765900863154,0.95042417325028,0,0
3,1.35644522449741,1.65003752745871,0.948009615720849,0,0
4,1.33225339013491,1.63481445989174,0.945138204668366,0,0
5,1.31491572079991,1.61510946932759,0.941985397304016,0,0
6,1.30887483502289,1.5940422191632,0.938726650838986,0,0
7,1.28506442282756,1.57473237279554,0.934303207948853,0,0
8,1.2530803383486,1.56029959362156,0.927124039599305,0,0
9,1.2360447096868,1.55162468657625,0.919139872522011,0,0
10,1.23191462968687,1.53904209329617,0.912420112186757,0,0
11,1.22110820964123,1.52315156959444,0.908352010718691,0,0
12,1.20716556304835,1.50648404922902,0.903434663318805,0,0
13,1.19368327998535,1.49157046595786,0.897469835249405,0,0
14,1.18425795052931,1.48094175353894,0.891246307998423,0,0
15,1.18166482716009,1.47335589105825,0.885552863053788,0,0
16,1.1765879836207,1.46420123740861,0.881178281903432,0,0
17,1.16746164606856,1.45419515284607,0.878394943732635,0,0
18,1.15694995530154,1.44413578178682,0.87564543892417,0,0
19,1.14771705211749,1.43482126864704,0.872835007776481,0,0
20,1.14242707731427,1.42704975784289,0.870062485618793,0,0
21,1.14040160285914,1.42159572726265,0.867426707780328,0,0
22,1.13327584096182,1.41598088494779,0.865026509590313,0,0
23,1.12331818158588,1.40864102917035,0.862960227569193,0,0
24,1.11372670206459,1.40030819006088,0.860233606519339,0,0
25,1.10769947973125,1.39171439774992,0.856270085448317,0,0
26,1.10584804503139,1.38359168236801,0.851654876085064,0,0
27,1.09941796511689,1.37667207404567,0.846973190158516,0,0
28,1.08965460693913,1.37136143494733,0.842810239397611,0,0
29,1.07922352688617,1.36381549877392,0.839751235531285,0,0
30,1.07079028134605,1.35371228394521,0.837691868158013,0,0
31,1.06702042670682,1.34232939009599,0.834573258349634,0,0
32,1.0647097717914,1.33094441686104,0.830710201695501,0,0
33,1.05816451699911,1.32083496387514,0.826676231975085,0,0
34,1.04908218670095,1.31327863077309,0.823044882967859,0,0
35,1.0391969405045,1.30839572868424,0.820389688453293,0,0
36,1.0302429380173,1.30139027361883,0.818230308579438,0,0
37,1.02395433884692,1.29252100054506,0.814794916375875,0,0
38,1.02195475275042,1.28290107983177,0.810483372552035,0,0
39,1.01957447781465,1.27364368184779,0.80577479886703,0,0
40,1.01454775493046,1.26586197696197,0.801148317079975,0,0
41,1.00822619183453,1.26033309364954,0.797083048949983,0,0
42,1.00196139626354,1.253455604719,0.794058116236168,0,0
43,0.997104975954175,1.24452816211505,0.792221893388014,0,0
44,0.995008538643111,1.23428326471738,0.789572238789689,0,0
45,0.991115685478909,1.22345341140564,0.786189218427844,0,0
46,0.980587326426183,1.21277110105952,0.782687041484656,0,0
47,0.966924339310701,1.20288294394576,0.779679917142303,0,0
48,0.953656710689621,1.18728708445831,0.777724639023902,0,0
49,0.9443144271201,1.16542427530411,0.774919710280693,0,0
50,0.941545912398519,1.14275591052826,0.770633452533395,0,0
51,0.934155831541651,1.12474338417586,0.765618744969504,0,0
52,0.92115344477261,1.11305385690886,0.760628466776509,0,0
53,0.907016060357987,1.09617270838486,0.756415497141905,0,0
54,0.896220986564375,1.07552567885247,0.753707463948282,0,0
55,0.892811027907833,1.0542619987247,0.751620569284243,0,0
56,0.887260536933024,1.03553089841453,0.7494150380058,0,0
57,0.876426322117349,1.02248160833497,0.747128061665914,0,0
58,0.86357195593818,1.01191094158928,0.744796831817546,0,0
59,0.851961010872891,0.998107272465238,0.742458540013658,0,0
60,0.844857059398852,0.982556440204166,0.740150377807209,0,0
61,0.842664309412973,0.966764184067754,0.736604747700254,0,0
62,0.835039821366148,0.952236243317691,0.73124466577171,0,0
63,0.823817039451193,0.940478357215665,0.725809459235639,0,0
64,0.812650909191855,0.927545793777328,0.722046211988013,0,0
65,0.805196376111885,0.906609765290632,0.719104640985958,0,0
66,0.802571292591139,0.889864163864882,0.715209274421526,0,0
67,0.7927165094776,0.877697075056413,0.711016384448671,0,0
68,0.779347422015687,0.860503068558042,0.707183252353322,0,0
69,0.769457670699677,0.843326617761891,0.704186147698218,0,0
70,0.766233065242251,0.831328242222553,0.699582380078111,0,0
