"fakeDate","dayOfYear","month","dayLength","temperature","pocConc"
2021-01-01,1,1,17.0785302583621,2.53157293783067,494
2021-01-02,2,1,17.0539811352999,2.56586154208434,494
2021-01-03,3,1,17.0293443849212,2.60009045317407,494
2021-01-04,4,1,17.0045761935676,2.63422809576851,494
2021-01-05,5,1,16.979632747581,2.66824289453629,494
2021-01-06,6,1,16.954470233303,2.70210327414606,494
2021-01-07,7,1,16.9290448370754,2.73577765926645,494
2021-01-08,8,1,16.9033127452399,2.76923447456611,494
2021-01-09,9,1,16.8772301441383,2.80244214471367,494
2021-01-10,10,1,16.8507532201122,2.83536909437778,494
2021-01-11,11,1,16.8238381595035,2.86798374822707,494
2021-01-12,12,1,16.7964411486538,2.90025453093019,494
2021-01-13,13,1,16.7685183739049,2.93214986715578,494
2021-01-14,14,1,16.7400260215985,2.96363818157248,494
2021-01-15,15,1,16.7109202780763,2.99468789884891,494
2021-01-16,16,1,16.6811573296801,3.02526744365374,494
2021-01-17,17,1,16.6506933627515,3.0553452406556,494
2021-01-18,18,1,16.6194845636324,3.08488971452312,494
2021-01-19,19,1,16.5874871186645,3.11386928992495,494
2021-01-20,20,1,16.5546572141895,3.14225239152973,494
2021-01-21,21,1,16.520951036549,3.17000744400609,494
2021-01-22,22,1,16.486324772085,3.19710623039809,494
2021-01-23,23,1,16.450734607139,3.22353809391955,494
2021-01-24,24,1,16.4141367280528,3.24929809809832,494
2021-01-25,25,1,16.3764873211682,3.27438130958086,494
2021-01-26,26,1,16.3377425728268,3.29878279501362,494
2021-01-27,27,1,16.2978586693705,3.32249762104304,494
2021-01-28,28,1,16.2567917971409,3.34552085431557,494
2021-01-29,29,1,16.2144981424798,3.36784756147766,494
2021-01-30,30,1,16.1709338917288,3.38947280917576,494
2021-01-31,31,1,16.1260552312298,3.41039166405632,494
2021-02-01,32,2,16.0798183473245,3.43059919276577,501
2021-02-02,33,2,16.0321794263546,3.45009046195058,501
2021-02-03,34,2,15.9830946546618,3.46886053825719,501
2021-02-04,35,2,15.9325202185878,3.48690448833205,501
2021-02-05,36,2,15.8804123044744,3.5042173788216,501
2021-02-06,37,2,15.8267270986634,3.52079427637229,501
2021-02-07,38,2,15.7714207874964,3.53663024763058,501
2021-02-08,39,2,15.7144557131558,3.55172035924291,501
2021-02-09,40,2,15.6558576462485,3.56605967785572,501
2021-02-10,41,2,15.5956897212596,3.57964327011548,501
2021-02-11,42,2,15.5340155534504,3.59246620266861,501
2021-02-12,43,2,15.4708987580822,3.60452354216158,501
2021-02-13,44,2,15.4064029504163,3.61581035524082,501
2021-02-14,45,2,15.340591745714,3.6263217085528,501
2021-02-15,46,2,15.2735287592365,3.63605266874395,501
2021-02-16,47,2,15.2052776062453,3.64499830246072,501
2021-02-17,48,2,15.1359019020015,3.65315367634957,501
2021-02-18,49,2,15.0654652617665,3.66051385705694,501
2021-02-19,50,2,14.9940313008015,3.66707391122927,501
2021-02-20,51,2,14.921663634368,3.67282890551302,501
2021-02-21,52,2,14.848425877727,3.67777390655464,501
2021-02-22,53,2,14.77438164614,3.68190398100057,501
2021-02-23,54,2,14.6995945548683,3.68521419549726,501
2021-02-24,55,2,14.6241282191731,3.68769961669115,501
2021-02-25,56,2,14.5480462543158,3.6893553112287,501
2021-02-26,57,2,14.4714122755575,3.69017637745159,501
2021-02-27,58,2,14.3942898981597,3.69016306021368,501
2021-02-28,59,2,14.3167427373836,3.68932639659306,501
2021-03-01,60,3,14.2388344084906,3.68767878260059,833
2021-03-02,61,3,14.1606285267418,3.68523261424715,833
2021-03-03,62,3,14.0821887073987,3.68200028754359,833
2021-03-04,63,3,14.0035785657224,3.67799419850079,833
2021-03-05,64,3,13.9248617169744,3.67322674312961,833
2021-03-06,65,3,13.8461017764159,3.66771031744092,833
2021-03-07,66,3,13.7673623593081,3.66145731744559,833
2021-03-08,67,3,13.6887070809124,3.65448013915447,833
2021-03-09,68,3,13.6101995564901,3.64679117857844,833
2021-03-10,69,3,13.5319034013025,3.63840283172836,833
2021-03-11,70,3,13.4538747188492,3.6293274946151,833
2021-03-12,71,3,13.3761225624571,3.61957756324952,833
2021-03-13,72,3,13.2986378075645,3.6091654336425,833
2021-03-14,73,3,13.2214112905833,3.59810350180489,833
2021-03-15,74,3,13.1444338479253,3.58640416374757,833
2021-03-16,75,3,13.0676963160023,3.5740798154814,833
2021-03-17,76,3,12.9911895312261,3.56114285301724,833
2021-03-18,77,3,12.9149043300088,3.54760567236597,833
2021-03-19,78,3,12.838831548762,3.53348066953845,833
2021-03-20,79,3,12.7629620238976,3.51878024054554,833
2021-03-21,80,3,12.6872865918276,3.50351678139811,833
2021-03-22,81,3,12.6117960889637,3.48770268810704,833
2021-03-23,82,3,12.5364813517178,3.47135035668318,833
2021-03-24,83,3,12.4613332165017,3.45447218313739,833
2021-03-25,84,3,12.3863425197274,3.43708056348056,833
2021-03-26,85,3,12.3115000978066,3.41918789372354,833
2021-03-27,86,3,12.2367967871512,3.40080656987719,833
2021-03-28,87,3,12.1622234241731,3.3819489879524,833
2021-03-29,88,3,12.087770845284,3.36262754396001,833
2021-03-30,89,3,12.013429886896,3.34285463391091,833
2021-03-31,90,3,11.9391913854207,3.32264265381595,833
2021-04-01,91,4,11.8650461772701,3.302003999686,434
2021-04-02,92,4,11.790985098856,3.28095106753193,434
2021-04-03,93,4,11.7169989865903,3.25949620760629,434
2021-04-04,94,4,11.6430786768848,3.23765086580947,434
2021-04-05,95,4,11.5692150061513,3.21542565903,434
2021-04-06,96,4,11.4953988108018,3.19283117350193,434
2021-04-07,97,4,11.421620927248,3.1698779954593,434
2021-04-08,98,4,11.3478721919019,3.14657671113616,434
2021-04-09,99,4,11.2741434411752,3.12293790676656,434
2021-04-10,100,4,11.2004255114799,3.09897216858453,434
2021-04-11,101,4,11.1267092392277,3.07469008282414,434
2021-04-12,102,4,11.0529854608305,3.05010223571942,434
2021-04-13,103,4,10.9792450127003,3.02521921350442,434
2021-04-14,104,4,10.9054787312487,3.00005160241318,434
2021-04-15,105,4,10.8316774528878,2.97460998867975,434
2021-04-16,106,4,10.7578320140292,2.94890495853818,434
2021-04-17,107,4,10.683933251085,2.92294709822252,434
2021-04-18,108,4,10.6099720004669,2.8967469939668,434
2021-04-19,109,4,10.5359390985868,2.87031523200508,434
2021-04-20,110,4,10.4618253818565,2.8436623985714,434
2021-04-21,111,4,10.3876217166642,2.8167990798998,434
2021-04-22,112,4,10.3133306476401,2.78973586222434,434
2021-04-23,113,4,10.2389840610304,2.76248333177905,434
2021-04-24,114,4,10.1646183781079,2.73505207479799,434
2021-04-25,115,4,10.0902700201456,2.7074526775152,434
2021-04-26,116,4,10.0159754084164,2.67969572616473,434
2021-04-27,117,4,9.94177096419333,2.65179180698062,434
2021-04-28,118,4,9.86769310874929,2.62375150619692,434
2021-04-29,119,4,9.79377826335721,2.59558541004767,434
2021-04-30,120,4,9.72006284929009,2.56730410476692,434
2021-05-01,121,5,9.64658328782084,2.53891817658871,28
2021-05-02,122,5,9.57337600022242,2.5104382117471,28
2021-05-03,123,5,9.50047740776779,2.48187479647613,28
2021-05-04,124,5,9.42792393172988,2.45323851700984,28
2021-05-05,125,5,9.35575199338166,2.42453995958228,28
2021-05-06,126,5,9.28399801399607,2.39578971042749,28
2021-05-07,127,5,9.21269841484605,2.36699835577953,28
2021-05-08,128,5,9.14188961720456,2.33817648187243,28
2021-05-09,129,5,9.07160804234455,2.30933467494025,28
2021-05-10,130,5,9.00189011153897,2.28048352121703,28
2021-05-11,131,5,8.93277224606076,2.25163360693681,28
2021-05-12,132,5,8.86429086718287,2.22279551833364,28
