doy;length
34.366;2.493
42.334;3.912
55.994;5.410
70.223;6.592
86.159;7.774
108.925;8.326
131.690;8.799
159.579;9.036
181.206;9.036
197.712;9.036
219.339;9.115
235.844;9.115
253.488;9.903
270.562;10.691
285.360;11.874
299.589;12.898
316.094;14.238
326.339;14.396
341.706;15.815
353.658;17.628
366.748;19.520
382.684;21.964
397.482;24.092
414.557;25.826
432.769;27.009
453.828;27.324
476.025;27.403
498.221;27.245
34.366;22.121
49.733;23.619
62.824;24.802
79.329;25.669
101.526;26.142
123.153;26.142
145.919;26.220
165.270;26.142
190.882;26.063
217.063;25.984
234.706;25.984
256.903;26.378
272.839;27.639
285.929;28.901
296.174;30.241
312.110;31.581
315.525;32.054
324.062;31.975
333.738;32.763
346.259;34.970
354.796;38.045
366.748;40.883
384.392;43.405
403.743;44.982
425.371;46.322
451.551;46.637
474.886;46.401
499.360;46.164
32.090;44.982
55.994;46.322
81.036;46.952
105.510;47.110
140.228;47.031
173.807;46.479
204.541;45.928
225.600;45.218
247.227;45.139
265.440;46.006
281.945;47.031
299.589;47.977
317.802;49.002
325.201;48.923
336.584;49.475
352.520;51.603
367.887;53.338
384.961;55.072
404.312;56.097
430.493;56.727
458.381;56.648
480.578;56.018
499.360;55.229
